100421695700012077171460      DISK MED PADUA DISTRIBUIDORA DE MEDSanto Antonio de Padua        RJ22385490042011100120111031331
11RODOVIA PIRAPETINGA A PADUA       SN   KM 01                 SANTA LUZIA    28470000ADILSON                     002238549004
503922450600011084992046      20111003RJ011  2113705102P000000001740000000000174000000000003306000000000000000000000000001900N
5007475351000106082332215     20111003ES011  2113716108P000000000310200000000031020000000000217000000000000000000000000000700N
5007475351000106082332215     20111003ES011  2113716403P000000006538900000000653890000000004477000000000000000000000000000700N
500117627100016584524336      20111003RJ011  2113725403P000000003357800000000335780000000000000000000000000000000000000000000N
500117627100016584524336      20111003RJ011  2113725102P000000000081500000000008150000000000155000000000000000000000000001900N
5018338152000164ISENTO        20111003MG011  2113736108P000000008657200000000865720000000010389000000000000000000000000001200N
50048344170001000151599840071 20111003MG011  2113746108P000000000126000000000012600000000000000000000000000000000000000000000N
50048344170001000151599840071 20111003MG011  2113746403P000000001872900000000187290000000002247000000000000000000000000001200N
5017710690000175ISENTO        20111003MG011  2113756108P000000002384000000000238400000000002861000000000000000000000000001200N
501058994000011178687070      20111003RJ011  2113765403P000000002296000000000229600000000000000000000000000000000000000000000N
501058994000011178687070      20111003RJ011  2113765102P000000000078000000000007800000000000148000000000000000000000000001900N
503241003700018480476264      20111003RJ011  2113775403P000000008046800000000804680000000000000000000000000000000000000000000N
5018114272000188ISENTO        20111003MG011  2113786108P000000006295900000000629590000000007555000000000000000000000000001200N
5031506306000148ISENTO        20111003RJ011  2113795403P000000020884000000002088400000000000000000000000000000000000000000000N
5017947615000122ISENTO        20111003MG011  2113806108P000000018678100000001867810000000022414000000000000000000000000001200N
5017735754000192ISENTO        20111003MG011  2113816108P000000014200000000001420000000000017040000000000000000000000000001200N
503629126800017784256269      20111003RJ011  2113825403P000000002009400000000200940000000000000000000000000000000000000000000N
5018092825000149ISENTO        20111003MG011  2113836108P000000003802200000000380220000000003650000000000000000000000000001200N
50024146980001173670934220019 20111003MG011  2113846108P000000002112500000000211250000000002535000000000000000000000000001200N
5012047232000184ISENTO        20111003RJ011  2113855403P000000022069600000002206960000000000000000000000000000000000000000000N
503072390200011780782772      20111003RJ011  2113865403P000000002065300000000206530000000000000000000000000000000000000000000N
502860420500010380847459      20111003RJ011  2113875403P000000001577000000000157700000000000000000000000000000000000000000000N
501221614700010079112437      20111003RJ011  2113885403P000000007195300000000719530000000000000000000000000000000000000000000N
501221614700010079112437      20111003RJ011  2113885102P000000000399000000000039900000000000798000000000000000000000000001900N
503159135700011581124973      20111003RJ011  2113895403P000000009449300000000944930000000000000000000000000000000000000000000N
5027075878000142080425860     20111003ES011  2113906403P000000002515200000000251520000000001761000000000000000000000000000700N
503949897700011680901410      20111003RJ011  2113915403P000000005793200000000579320000000000000000000000000000000000000000000N
50135922280001600017678630034 20111003MG011  2113926403P000000002101300000000210130000000002654000000000000000000000000001200N
506872608200019084468193      20111003RJ011  2113935403P000000007809700000000780970000000000000000000000000000000000000000000N
503159344500015681124930      20111003RJ011  2113945403P000000003900800000000390080000000000000000000000000000000000000000000N
500706747000011177845283      20111003RJ011  2113955403P000000001588000000000158800000000000000000000000000000000000000000000N
500706747000011177845283      20111003RJ011  2113955102P000000000119400000000011940000000000227000000000000000000000000001900N
50093152240001670010587530049 20111003MG011  2113966108P000000000147100000000014710000000000177000000000000000000000000001200N
50093152240001670010587530049 20111003MG011  2113966403P000000006917300000000691730000000008301000000000000000000000000001200N
500422868200014585010158      20111003RJ011  2113975403P000000002504800000000250480000000000000000000000000000000000000000000N
50081445000001090010115290044 20111003MG011  2113986403P000000015031400000001503140000000018038000000000000000000000000001200N
50089119260001400010416380077 20111003MG011  2113996403P000000002015300000000201530000000002418000000000000000000000000001200N
500140409700016085975811      20111003RJ011  2114005403P000000003740000000000374000000000000000000000000000000000000000000000N
50262392100001203676478720080 20111003MG011  2114016108P000000000499200000000049920000000000000000000000000000000000000000000N
50262392100001203676478720080 20111003MG011  2114016108P000000002201000000000220100000000002641000000000000000000000000001200N
50262392100001203676478720080 20111003MG011  2114016403P000000019700800000001970080000000023641000000000000000000000000001200N
50086004330001900010266320090 20111003MG011  2114026403P000000002860000000000286000000000003432000000000000000000000000001200N
502985655600016681138850      20111003RJ011  2114035102P000000000577600000000057760000000000000000000000000000000000000000000N
502985655600016681138850      20111003RJ011  2114035403P000000005091100000000509110000000000000000000000000000000000000000000N
502985655600016681138850      20111003RJ011  2114035102P000000000618400000000061840000000001237000000000000000000000000001900N
501219526200013879103659      20111003RJ011  2114045403P000000022340000000002234000000000000000000000000000000000000000000000N
501219526200013879103659      20111003RJ011  2114045102P000000001250000000000125000000000002375000000000000000000000000001900N
5018338178000102ISENTO        20111003MG011  2114056108P000000005723000000000572300000000006868000000000000000000000000001200N
500297025100012475775539      20111003RJ011  2114065403P000000004172400000000417240000000000000000000000000000000000000000000N
500297025100012475775539      20111003RJ011  2114065102P000000000168900000000016890000000000338000000000000000000000000001900N
5004249257000132ISENTO        20111003RJ011  2114075102P000000007977500000000797750000000015157000000000000000000000000001900N
5004249257000132ISENTO        20111003RJ011  2114085102P000000041676000000004167600000000079184000000000000000000000000001900N
502769903200018380900031      20111004RJ011  2114095403P000000004209700000000420970000000000000000000000000000000000000000000N
502769903200018380900031      20111004RJ011  2114095102P000000000636000000000063600000000001208000000000000000000000000001900N
5017947615000122ISENTO        20111004MG011  2114106108P000000001602300000000160230000000001923000000000000000000000000001200N
50711346880001403678381750050 20111004MG011  2114116108P000000002870500000000287050000000003445000000000000000000000000001200N
5005797356000111ISENTO        20111004RJ011  2114125403P000000009063500000000906350000000000000000000000000000000000000000000N
50048505560001285112320660032 20111004MG011  2114136108P000000000079800000000007980000000000101000000000000000000000000001200N
50048505560001285112320660032 20111004MG011  2114136403P000000002112000000000211200000000002668000000000000000000000000001200N
500141657600010586045893      20111004RJ011  2114145403P000000006549700000000654970000000000000000000000000000000000000000000N
500141657600010586045893      20111004RJ011  2114145102P000000000041800000000004180000000000084000000000000000000000000001900N
503014694800011080837348      20111004RJ011  2114155403P000000002854600000000285460000000000000000000000000000000000000000000N
503014694800011080837348      20111004RJ011  2114155102P000000000180000000000018000000000000342000000000000000000000000001900N
500467991000010177260374      20111004RJ011  2114165102P000000000033400000000003340000000000000000000000000000000000000000000N
500467991000010177260374      20111004RJ011  2114165403P000000004688600000000468860000000000000000000000000000000000000000000N
501335807800012479317152      20111004RJ011  2114175403P000000001919100000000191910000000000000000000000000000000000000000000N
501335807800012479317152      20111004RJ011  2114175102P000000001068400000000106840000000002030000000000000000000000000001900N
5036323780000158081518641     20111004ES011  2114186108P000000000386400000000038640000000000270000000000000000000000000000700N
5036323780000158081518641     20111004ES011  2114186403P000000002655600000000265560000000001859000000000000000000000000000700N
5013601742000114082789754     20111004ES011  2114196403P000000002206100000000220610000000001544000000000000000000000000000700N
500042878700019785354388      20111004RJ011  2114205403P000000001958800000000195880000000000000000000000000000000000000000000N
500042878700019785354388      20111004RJ011  2114205102P000000000225100000000022510000000000450000000000000000000000000001900N
